Ticker,Date,MarketClose,Volume,MarketOpen,High,Low
TSLA,06/30/2023,261.77,112620800,$260.60,$264.45,$259.89
TSLA,06/29/2023,257.50,131283400,$258.03,$260.74,$253.61
TSLA,06/28/2023,256.24,159770800,$249.70,$259.88,$248.89
TSLA,06/27/2023,250.21,164968200,$243.24,$250.39,$240.85
TSLA,06/26/2023,241.05,179990600,$250.07,$258.37,$240.70
TSLA,06/23/2023,256.60,177460800,$259.29,$262.45,$252.80
TSLA,06/22/2023,264.61,166875900,$250.77,$265.00,$248.25
TSLA,06/21/2023,259.46,211797100,$275.13,$276.99,$257.78
TSLA,06/20/2023,274.45,165611200,$261.50,$274.75,$261.12
TSLA,06/16/2023,260.54,167915600,$258.92,$263.60,$257.21
TSLA,06/15/2023,255.90,160171200,$248.40,$258.95,$247.29
TSLA,06/14/2023,256.79,170575500,$260.17,$261.57,$250.50
TSLA,06/13/2023,258.71,162384300,$253.51,$259.68,$251.34
TSLA,06/12/2023,249.83,150740500,$247.94,$250.97,$244.59
TSLA,06/09/2023,244.40,200242400,$249.07,$252.42,$242.02
TSLA,06/08/2023,234.86,164489700,$224.22,$235.23,$223.01
TSLA,06/07/2023,224.57,185710800,$228.00,$230.83,$223.20
TSLA,06/06/2023,221.31,146911600,$216.14,$221.91,$212.53
TSLA,06/05/2023,217.61,151143100,$217.80,$221.29,$214.52
TSLA,06/02/2023,213.97,164398400,$210.15,$217.25,$209.75
TSLA,06/01/2023,207.52,148029900,$202.59,$209.80,$199.37
TSLA,05/31/2023,203.93,150711700,$199.78,$203.95,$195.12
TSLA,05/30/2023,201.16,128818700,$200.10,$204.48,$197.53
TSLA,05/26/2023,193.17,162061500,$184.62,$198.60,$184.53
TSLA,05/25/2023,184.47,96870720,$186.54,$186.78,$180.58
TSLA,05/24/2023,182.90,137605100,$182.23,$184.22,$178.22
TSLA,05/23/2023,185.77,156952100,$186.20,$192.96,$185.26
TSLA,05/22/2023,188.87,132001400,$180.70,$189.32,$180.11
TSLA,05/19/2023,180.14,136196700,$177.17,$181.95,$176.31
TSLA,05/18/2023,176.89,109520300,$174.22,$177.06,$172.45
TSLA,05/17/2023,173.86,125473600,$168.41,$174.50,$167.19
TSLA,05/16/2023,166.52,98288790,$165.65,$169.52,$164.35
TSLA,05/15/2023,166.35,105592500,$167.66,$169.76,$164.55
TSLA,05/12/2023,167.98,157849600,$176.07,$177.38,$167.23
TSLA,05/11/2023,172.08,103889900,$168.70,$173.57,$166.79
TSLA,05/10/2023,168.54,119840700,$172.55,$174.43,$166.68
TSLA,05/09/2023,169.15,88965040,$168.95,$169.82,$166.56
TSLA,05/08/2023,171.79,112249400,$173.72,$173.80,$169.19
TSLA,05/05/2023,170.06,107607300,$163.97,$170.79,$163.51
TSLA,05/04/2023,161.20,95108490,$162.71,$162.95,$159.65
TSLA,05/03/2023,160.61,119728000,$160.01,$165.00,$159.91
TSLA,05/02/2023,160.31,128259700,$161.88,$165.49,$158.93
TSLA,05/01/2023,161.83,109015000,$163.17,$163.28,$158.83
TSLA,04/28/2023,164.31,122515800,$160.90,$165.00,$157.32
TSLA,04/27/2023,160.19,127015200,$152.64,$160.48,$152.37
TSLA,04/26/2023,153.75,153364100,$160.29,$160.67,$153.14
TSLA,04/25/2023,160.67,121999300,$159.82,$163.47,$158.75
TSLA,04/24/2023,162.55,140006600,$164.65,$165.65,$158.61
TSLA,04/21/2023,165.08,123539000,$164.80,$166.00,$161.32
TSLA,04/20/2023,162.99,210970800,$166.17,$169.70,$160.56
TSLA,04/19/2023,180.59,125732700,$179.10,$183.50,$177.65
TSLA,04/18/2023,184.31,92067020,$187.15,$187.69,$183.58
TSLA,04/17/2023,187.04,116662200,$186.32,$189.69,$182.69
TSLA,04/14/2023,185.00,96438660,$183.95,$186.28,$182.01
TSLA,04/13/2023,185.90,112933000,$182.96,$186.50,$180.94
TSLA,04/12/2023,180.54,150256300,$190.74,$191.58,$180.31
TSLA,04/11/2023,186.79,115770900,$186.69,$189.19,$185.65
TSLA,04/10/2023,184.51,142154600,$179.94,$185.10,$176.11
TSLA,04/06/2023,185.06,123857900,$183.08,$186.39,$179.74
TSLA,04/05/2023,185.52,133882500,$190.52,$190.68,$183.76
TSLA,04/04/2023,192.58,126463800,$197.32,$198.74,$190.32
TSLA,04/03/2023,194.77,169545900,$199.91,$202.69,$192.20
TSLA,03/31/2023,207.46,170222100,$197.53,$207.79,$197.20
TSLA,03/30/2023,195.28,110252200,$195.58,$197.33,$194.42
TSLA,03/29/2023,193.88,123660000,$193.13,$195.29,$189.44
TSLA,03/28/2023,189.19,98654640,$192.00,$192.35,$185.43
TSLA,03/27/2023,191.81,120851600,$194.42,$197.39,$189.94
TSLA,03/24/2023,190.41,116531600,$191.65,$192.36,$187.15
TSLA,03/23/2023,192.22,144193900,$195.26,$199.31,$188.65
TSLA,03/22/2023,191.15,150376400,$199.30,$200.66,$190.95
TSLA,03/21/2023,197.58,153391400,$188.28,$198.00,$188.04
TSLA,03/20/2023,183.25,129684400,$178.08,$186.44,$176.35
TSLA,03/17/2023,180.13,133197100,$184.52,$186.22,$177.33
TSLA,03/16/2023,184.13,121374500,$180.37,$185.81,$178.84
TSLA,03/15/2023,180.45,145995600,$180.80,$182.34,$176.03
TSLA,03/14/2023,183.26,143717900,$177.31,$183.80,$177.14
TSLA,03/13/2023,174.48,167790300,$167.46,$177.35,$163.91
TSLA,03/10/2023,173.44,191488900,$175.13,$178.29,$168.44
TSLA,03/09/2023,172.92,170023800,$180.25,$185.18,$172.51
TSLA,03/08/2023,182.00,151897800,$185.04,$186.50,$180.00
TSLA,03/07/2023,187.71,148125800,$191.38,$194.20,$186.10
TSLA,03/06/2023,193.81,128100100,$198.54,$198.60,$192.30
TSLA,03/03/2023,197.79,154193300,$194.80,$200.48,$192.88
TSLA,03/02/2023,190.90,181979200,$186.74,$193.75,$186.01
TSLA,03/01/2023,202.77,156852800,$206.21,$207.20,$198.52
TSLA,02/28/2023,205.71,153144900,$210.59,$211.23,$203.75
TSLA,02/27/2023,207.63,161028300,$202.03,$209.42,$201.26
TSLA,02/24/2023,196.88,142228100,$196.33,$197.67,$192.80
TSLA,02/23/2023,202.07,146360000,$203.91,$205.14,$196.33
TSLA,02/22/2023,200.86,191828500,$197.93,$201.99,$191.78
TSLA,02/21/2023,197.37,180018600,$204.99,$209.71,$197.22
TSLA,02/17/2023,208.31,213738500,$199.99,$208.44,$197.50
TSLA,02/16/2023,202.04,229586500,$210.78,$217.65,$201.84
TSLA,02/15/2023,214.24,182108600,$211.76,$214.66,$206.11
TSLA,02/14/2023,209.25,216455700,$191.94,$209.82,$189.44
TSLA,02/13/2023,194.64,172475500,$194.42,$196.30,$187.61
TSLA,02/10/2023,196.89,204754100,$202.23,$206.20,$192.89
TSLA,02/09/2023,207.32,215431400,$207.78,$214.00,$204.77
TSLA,02/08/2023,201.29,180673600,$196.10,$203.00,$194.31
TSLA,02/07/2023,196.81,186010300,$196.43,$197.50,$189.55
TSLA,02/06/2023,194.76,186188100,$193.01,$198.17,$189.92
TSLA,02/03/2023,189.98,232662000,$183.95,$199.00,$183.69
